path;sentence
common_voice_quy_41903591.wav;Akchiyqa kay puykunamantam paqarimun.
common_voice_quy_41903592.wav;Utqayllam wiñanku, sisarinku, hinaspa pawayta qallarinku.
common_voice_quy_41903593.wav;Maynintam chayayman, puquio llaqtallayman.
common_voice_quy_41903594.wav;Manaña sachakuna kaptin, pachaqa chinkariyta qallarin.
common_voice_quy_41903595.wav;Kaykunam hukniraq kallpasapa yurakuna.
common_voice_quy_41904417.wav;Suqta harawikunata paqarichirqa.
common_voice_quy_41904418.wav;Chay killapim Ayamarpa rayminta ruwarqaku, ayakunata marqaspanku.
common_voice_quy_41904419.wav;Chileqa huk hatun llaqta qulla suyumantam.
common_voice_quy_41904420.wav;Yuyariwaptikim.
common_voice_quy_41904421.wav;Kayta akllasqa mana qhawasqa tropical unqusqa kaqhina kan.
common_voice_quy_41905178.wav;Kallmapa rurunmi kallmapa rikuqmi mirachinapaq.
common_voice_quy_41905180.wav;Chaynata kuyawaptikiqa.
common_voice_quy_41905181.wav;Qamllamari taytallayta.
common_voice_quy_41905182.wav;Pachacha churallawasqa.
common_voice_quy_42019314.wav;Provincia de Manu nisqanpim, tawa distritukunam kan.
common_voice_quy_42019315.wav;Manaraq huk watayuq wawakunataqa, pallpa ninchikmi.
common_voice_quy_42019316.wav;Wasiki punkupi kuti kuti lambras.
common_voice_quy_42019317.wav;Pitaq maytaq aysarillasunki.
common_voice_quy_42019318.wav;Latin simiqa romanukunapa rimayninmi karqa.
common_voice_quy_42019357.wav;Qaway qawachkanki.
common_voice_quy_42019359.wav;Maynintam chayayman, limacha llaqtaman.
common_voice_quy_42019360.wav;Wasi rurayqa, ancha sumaq llamkaymi.
common_voice_quy_42019361.wav;Achka yachayspanta ruwaspa.
common_voice_quy_42019362.wav;Pitaq maytaq sinchimusunki.
common_voice_quy_42033946.wav;Kay pawaq uywakunam raprayuq kanku.
common_voice_quy_42033947.wav;Rabiaypim upiani.
common_voice_quy_42033948.wav;Esquina muyurinapim tiendaypas.
common_voice_quy_42033949.wav;Kay muhukunaqa miski kiskim proteína nisqapi.
common_voice_quy_42033950.wav;Wirayakullachkan.
common_voice_quy_42033973.wav;Ima kawsasqankumanta, chaynatam rakinchik.
common_voice_quy_42033974.wav;Sunquqa yawartam sirkakunamanta tanqan.
common_voice_quy_42033976.wav;Sonqo suwa.
common_voice_quy_42033977.wav;"Parkipiqa hatun zona de ""protección estricta"" siqa kanmi."
common_voice_quy_42033993.wav;Kunan pachapiqa, aswan rimayqa castellano simim.
common_voice_quy_42033994.wav;Rinriqa umapim, kaypim uyarikuyta paqarichin.
common_voice_quy_42033995.wav;Ripukunayñam kachkarqa.
common_voice_quy_42033996.wav;Imapas wayrawan musyaptin hinaspa akakipakuptin, wayrapim tikrakun.
common_voice_quy_42033997.wav;Qamkunata rimachikichik.
common_voice_quy_42076378.wav;Chiki tuku qachwallachkam.
